formatted_index,formatted_id,cleaned_text,Annotation,oh_label,users,hashtags,links
5762-5719-7484-5560-32,5762-5719-7484-5560-32,Another taqiyya liar making up garbage for the sake of  Mohammed's desire to exterminate Jews.,racism,1,@RaniaKhalek @MaxBlumenthal,,
5563-5228-7204-1959-68,5563-5228-7204-1959-68,The filthy Palestinians have attacked and murdered Jewish children in their schools in the past.  So fuck Palestinians.,racism,1,@yuskan0723,,
5591-0638-7545-1820-16,5591-0638-7545-1820-16,"The prophet Mohammed used catapults on cities, killing women and children. So you just called him a coward.",racism,1,@_Ibn_Latif @Colonel_Shami,,
5573-6108-4294-6309-76,5573-6108-4294-6309-76,That's only because they don't follow Islam.  Islam tells women to stay at home.,racism,1,@Ammaawah @jm111t,,http://t.co/UQLoWj1GjS
5559-0893-0576-9900-16,5559-0893-0576-9900-16,"True, no other ideology is as vile, murderous, backwards and stupid as Islam.",racism,1,@KamelNasrEldien,,
5740-1523-1313-1130-24,5740-1523-1313-1130-24,"RT : CNN reports on the murders of homosexuals by the Islamic State, but the problem isn’t just ISIS, it’s Islam",racism,1,@4chunat1,,http://t.co/ocd3R…
5635-7729-0127-1840-00,5635-7729-0127-1840-00,The ME led the world in development before there was Islam and fell behind the world after Islam.,racism,1,@obsurfer84,,
5526-2147-2418-8899-84,5526-2147-2418-8899-84,We could deal with the violent fanatics if the texts of Islam weren't producing more.,racism,1,@P_Valerianus @CTFleaMarkets @ibnHlophe @eeviewonders,,
5617-1611-6917-9770-24,5617-1611-6917-9770-24,"Scandinavian people will not be displaced by Jews, they'll be displaced by Muslim",racism,1,@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime,,
5660-0642-9903-9050-24,5660-0642-9903-9050-24,RT : AUSTRALIA: Lebanese Muslim husband 12-year-old pregnant wife arrested  sexual abuse   http…,racism,1,@Juliet777777,#PATRIOTS,http://t.co/SVYLP1qcDP
5626-6636-4939-1409-92,5626-6636-4939-1409-92,Obviously you know nothing about your religion.  Permission to rape slave girls is in both Quran and Hadiths.,racism,1,@aliabdalhamid @izrinhariri,,
5763-5440-3482-8780-16,5763-5440-3482-8780-16,And of course you are campaigning for the destruction of the Israelis because you are a racist anti-Semite asshole.,racism,1,@jncatron,,
5528-5691-5353-8250-24,5528-5691-5353-8250-24,Notice how the news media avoids pointing out that the murderers of the 12 French are followers of the death cult of .,racism,1,,#Islam,
5670-7372-9054-6380-16,5670-7372-9054-6380-16,"Mohammed was a slave trader, Jesus wasn't.  Mohammed was a sexist, Jesus wasn't.",racism,1,@truaemusic @mattybboi83 @Number10gov,,
5670-8110-2095-8350-08,5670-8110-2095-8350-08,"A religion who has a murdering, hating pedophile at it's core has no room to be reformed.",racism,1,@truaemusic,,
5720-7609-1470-3029-76,5720-7609-1470-3029-76,Then why do you smelly rag heads keep moving to Britian?,racism,1,@ummahwitness,,
5523-0452-1637-2860-16,5523-0452-1637-2860-16,Here is how  inscribes the inferiority and abuse of women.,racism,1,@ilhaam673 @B1236M,#Islam,http://t.co/wXassJMkTd
5755-0820-8212-5619-84,5755-0820-8212-5619-84,Fighting for him would mean not forcing him to become a jihadi hate monster.,racism,1,@santafeez,,http://t.co/tFmpcH1aZH
5525-3218-1038-6860-16,5525-3218-1038-6860-16,"RT : Look at all the land occupation in green, of ""Islamic domination"". We are being duped.",racism,1,@riwired @jemfleming @GOP @VileIslam,,http://t.c…
5750-9142-0140-1509-76,5750-9142-0140-1509-76,"If they were aligned with neo Nazis, the Muslims would love them.",racism,1,@Hesiod2k11 @MaxBlumenthal @BlueDuPage,,
5749-2083-3459-5969-92,5749-2083-3459-5969-92,"You fucking moron, slavery is approved right in the Quran. Read it you stupid idiot.",racism,1,@biebervalue @greenlinerzjm,,
5747-5769-6303-3169-92,5747-5769-6303-3169-92,Forget about your anti Jewish bigotry. How do you explain Hamas beheading gays and honor killing women,racism,1,@ardiem1m @MaxBlumenthal @oldkhayyam,,
5766-1364-2910-5730-56,5766-1364-2910-5730-56,What Christian who is not insane would want to live under Sharia law?,racism,1,@dankmtl @PeaceNotHate_,,
5750-8910-6029-4289-92,5750-8910-6029-4289-92,RT : “The lofty status of women in : Woman's testimony ½ the weight of a man's.”   http:…,racism,1,@AnneBayefsky,#Islam #WomensDay,http://t.co/cSIckyEr8T
5635-4504-8520-7450-24,5635-4504-8520-7450-24,Even your own link shows that the Jews were the producers and the Muslims lived by stealing others property.,racism,1,@obsurfer84,,
5681-0693-0054-3649-92,5681-0693-0054-3649-92,"RT : Saudi Arabia sewer qurans. When you can't express your hatred for Islam in words, throw them in the sewer.",racism,1,@God_Equals_Sant,,http://t.co…
5525-3094-8496-3180-16,5525-3094-8496-3180-16,Who is justifying Christianity microbrain. I don't have a religion. Why are you hiding Islamic barbarity,racism,1,@HillaryGuess @riwired @izrinhariri,,
5552-0146-1488-2179-84,5552-0146-1488-2179-84,The Department of Justice report says blacks kill at 6 times the rate of whites.,racism,1,@JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch,,
5533-6096-0438-5630-08,5533-6096-0438-5630-08,"Mohammed led 17 major military expeditions.  Most offensive.  He raped, robbed, murdered, lied, slaved, and was a pedophile.",racism,1,@SevilZadeh,,
5603-1148-0457-7649-92,5603-1148-0457-7649-92,ISIS has slavery because the prophet Mohammed was a slave owner and trader.,racism,1,@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53,,
5744-2341-3579-6490-24,5744-2341-3579-6490-24,"RT : Gang-raped Saudi woman gets 200 lashes, jail time. Saudis on UN ""Human Rights"" Council.",racism,1,@AnneBayefsky,,http://t.co/et8DDsmTrp http://t.c…
5517-8771-7168-6200-32,5517-8771-7168-6200-32,Muslims are fighting with every religion and none religion on the face of the earth.  But we are suppose to believe it's Jews fault,racism,1,@REMY119,,
5754-7549-0250-6170-24,5754-7549-0250-6170-24,And the lying Muslims claimed that all of their attacks were only done because they were preemptive.,racism,1,@harmlesstree2,,
5682-4001-1490-9100-16,5682-4001-1490-9100-16,"RT : ""Muslim Americans feel they've been targeted” - Obama

No mention of Jews, victims 60% of the time (h/t ) http:…",racism,1,@Cameron_Gray @joelengel,,
5603-1890-8612-0960-00,5603-1890-8612-0960-00,Raping children is what Mohammed did.,racism,1,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53,,
5525-5935-8643-4170-24,5525-5935-8643-4170-24,That Hadith is specific to AP.  Many others are specific to war on non believers everywhere.,racism,1,@ibnHlophe @eeviewonders @CTFleaMarkets,,
5678-1521-0959-9089-92,5678-1521-0959-9089-92,The Saudis will arm Sunni rebels in Yemen. Civil war is inevitable.,racism,1,@Joyce_Karam,,
5766-0681-3107-3309-44,5766-0681-3107-3309-44,Mohammed was a genocidal bigot who attacked Jews and Christians. ISIS and Hamas do exactly the same.,racism,1,@MaxBlumenthal @mehdirhasan @tnr,,
5602-9392-6502-8140-16,5602-9392-6502-8140-16,RT :   ? I think the word you're searching for is,racism,1,@PeterTownsend7,#isis #muslim #Islamophobia #Islamorealism,http://t.co/NyihT8Bqyu http://t.c…
5660-0561-8905-8659-84,5660-0561-8905-8659-84,RT :   Why beheadings? Because it's in the book!,racism,1,@PeterTownsend7,#Islam #ISIS,http://t.co/CcVAw1M7LF http://t.co/CGDLnBIbkK
5696-8794-3452-8199-68,5696-8794-3452-8199-68,There are many supposed Americans that work to destroy America.,racism,1,@Nick_d_Williams,,
5658-8731-2291-0579-84,5658-8731-2291-0579-84,Oh good. That get's them out from behind the civilians so that the Peshmerga can kill them.,racism,1,@TheInfoIslam,,
5670-3082-7360-3299-84,5670-3082-7360-3299-84,"Yeah, I know. Being a human being is against Islam. Islam must be outlawed.",racism,1,@ILTAFSHEHZAD,,
5660-5461-3879-5050-24,5660-5461-3879-5050-24,When you wake up tomorrow you will find that Daesh reports were as real as your 72 virgin pigs.,racism,1,@golddinar1 @uygaraktas @Islam4EA,,
5670-8087-1472-0170-24,5670-8087-1472-0170-24,The followers of the religion give a shit about the prophet of the religion. He is their example and always will be.,racism,1,@truaemusic,,
5763-5302-6547-3930-24,5763-5302-6547-3930-24,And while all other religious groups globally are under genocidal attacks by Muslims you blame the Jews.  Utterly  stupid.,racism,1,@roisin_morgan,,
5634-8190-7992-5969-92,5634-8190-7992-5969-92,Mohammed was a caravan robber.  ISIS steals others property.,racism,1,@teddyboylocsin @tweetybird2009 @PatVPeters,,
5620-4905-2154-4010-24,5620-4905-2154-4010-24,"RT : Pakistan is a nation of haters, killers and savages. See this  tweet. Barbarism is in the masses' minds.",racism,1,@sudixitca @Razarumi,,http://t.c…
5641-7935-6356-8540-16,5641-7935-6356-8540-16,"I already brought you proof straight from my Qurans. If you refuse to read it, then shut up and leave.",racism,1,@buttercupashby @MaDaSaHaTtEr_17,,
5740-1872-2202-9390-08,5740-1872-2202-9390-08,"Muslims train babies to hate and murder, then use them for propaganda.",racism,1,@Col_Connaughton,,http://t.co/c7DlwIXjPc
5767-4624-3214-3439-36,5767-4624-3214-3439-36,And Muslims are murdering raping and forcefully converting Christians in Egypt and have been for centuries.,racism,1,@AAlwuhaib1977,,
5648-8797-9252-9290-24,5648-8797-9252-9290-24,"Yes, Jews are tired of being murdered by Muslims. So what?",racism,1,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5548-5523-8822-1340-16,5548-5523-8822-1340-16,You and your religious brothers are the real filth of the earth. PKK rescued Yezidis from your animal friends.,racism,1,@harun_yahya,,
5754-6270-1217-9029-76,5754-6270-1217-9029-76,The Arabian Peninsula was once full of Jews and Christians. They were decimated by the Muslims. Max is helping them finish it,racism,1,@MaxBlumenthal,,
5719-1369-5191-6460-16,5719-1369-5191-6460-16,"LOL. First you deny that Islam permits the rape of slave girls, then you verify it. Get lost. I'm tired of you.",racism,1,@DianH4,,
5720-6213-5901-0320-00,5720-6213-5901-0320-00,Good. Anything is better than having Islamofascists in power.,racism,1,@Beltrew @iyad_elbaghdadi,,
5767-4300-8114-0610-56,5767-4300-8114-0610-56,And of course Christians all over the world are oppressed daily by Muslim bigotry.,racism,1,@AAlwuhaib1977 @dankmtl @PeaceNotHate_,,
5744-7020-4731-7200-00,5744-7020-4731-7200-00,So now you Taquiyya liars deny what is explicit in the Quran.,racism,1,@YusufPeaceful @Clashoftherats @tummala82 @IndyVoices,,http://t.co/u1r2GhUon9
5536-3213-2346-5560-32,5536-3213-2346-5560-32,"The idea about all of these ""moderate"" Muslims is oversold.  Most are extremists.",racism,1,@CamilleHughes16 @_Watch_Observe_,,http://t.co/cQJ6cNdGow
5551-5686-6561-3639-68,5551-5686-6561-3639-68,Objecting to this is what the PC morons of Salon call racism.,racism,1,@Salon @TheMuslimGuy,,http://t.co/pEPfxlLKfu
5713-5696-8280-9610-24,5713-5696-8280-9610-24,.....80% of Afghan civilians are killed by Taliban. So it is a service to mankind to bomb the Taliban.,racism,1,@DianH4 @ExposeFalsehood,,
5592-3172-0801-5950-08,5592-3172-0801-5950-08,Islam killed it.,racism,1,@drazmat22,,
5533-5977-7930-0270-08,5533-5977-7930-0270-08,This is a more complete picture of the bigotry of Islam than your selective lie.,racism,1,@KhaledHamaki,,http://t.co/raGDag6tmL
5622-5167-4861-8469-76,5622-5167-4861-8469-76,The Muslims are out of control and determined to steal the last tiny piece of land left to the Jews,racism,1,@nyc2peach @sajid_fairooz @IsraeliRegime,,
5758-2313-6412-6970-24,5758-2313-6412-6970-24,In fact many Muslim countries have the same odious laws as Daesh. This shows sex slaves are approved in KSA.,racism,1,@sweden,,http://t.co/rlwz0BqUBs
5641-7000-1771-2700-16,5641-7000-1771-2700-16,The fact is that Mohammed was every bit as vile and sick as ISIS. He is their model.,racism,1,@buttercupashby @MaDaSaHaTtEr_17,,
5539-4663-1289-4670-08,5539-4663-1289-4670-08,"Obviously the driving meme of Islam is world domination, if it be by force, intimidation, or persuasion.",racism,1,@KhaledHamaki,,
5766-0020-5237-1910-40,5766-0020-5237-1910-40,We are in an era where everyone has come to understand what the real  is all about.,racism,1,,#Islam,http://t.co/evEtQqChxZ
5559-1685-4599-1020-16,5559-1685-4599-1020-16,Saudi Arabia - a nation of Islamolunatics hiding from the Islamolunatics they helped to create.,racism,1,@GENUG @TheMuslimIssue,#Islam,
5684-7911-8716-7640-32,5684-7911-8716-7640-32,RT : Muslim found guilty of plotting to behead British soldiers-cases like this need the death penalty,racism,1,@DavidJo52951945,,http://t.co/Yc4rO5UU…
5623-4018-3647-8670-08,5623-4018-3647-8670-08,And I'm not sure how you can yammer about homelessness when Muslims are still murdering people for apostacy and blasphemy.,racism,1,@UmarMal,,
5553-8646-5434-0830-08,5553-8646-5434-0830-08,You are lying. Most Muslims are still extremists.,racism,1,@LibyaLiberty @SumbelinaZ,,http://t.co/u7L1uPRN7L
5587-7483-9398-2439-68,5587-7483-9398-2439-68,RT : The next successor to the Saudi throne will be the son of a slave girl,racism,1,@ThePoliticalHat,,http://t.co/C1XmXLtLXQ http://t.co/WtDeBOE1HA
5527-0309-0038-9479-68,5527-0309-0038-9479-68,"The prophet Mohammed was a terrorist, and he knew Islam.",racism,1,@hu_4u,,
5617-0972-0092-6970-24,5617-0972-0092-6970-24,I know about Judaism.  I don't recommend it.  But most Jews are secular.,racism,1,@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime,,
5558-1306-9545-1610-24,5558-1306-9545-1610-24,And all the hatred was started by your pedophile prophet.  Now you are finally getting it back.,racism,1,@NNdabbour64,,http://t.co/L8VgSNBDQX
5767-4691-1232-7089-92,5767-4691-1232-7089-92,"Wrong again, it is the Muslims murdering the Hindus in India, Kashmir, Bangladesh, and Pakistan.",racism,1,@AAlwuhaib1977,,
5521-7826-7927-8840-32,5521-7826-7927-8840-32,Imam's who disagree with Jihad are attacked by Muslims.  So where are these moderate Muslims?,racism,1,,#Islam,http://t.co/hkh5tyEIej
5622-4754-4076-3950-08,5622-4754-4076-3950-08,Yes they are Jew hating barbarians.,racism,1,@sajid_fairooz @IsraeliRegime,,
5743-2526-4085-1850-24,5743-2526-4085-1850-24,Liar. Those Hadith come from the USC Muslim student association Hadith web site. And here is more.,racism,1,@Clashoftherats,,http://t.co/v9w4T4izgk
5525-5341-0218-5569-92,5525-5341-0218-5569-92,It's called execution or conversion at sword point.  You're welcome.,racism,1,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan,,
5722-5333-0656-7889-92,5722-5333-0656-7889-92,These campaigns are all lies that try to portray Islam to the West as being the exact opposite of what it really is - barbaric.,racism,1,@CTVToronto,,
5651-8544-5584-0440-32,5651-8544-5584-0440-32,"RT : Authorities will use anti Semitic attacks on twitter by Muslims and the left to introduce laws against hate speech ,re…",racism,1,@royalmarine1980,,
5766-0489-2283-8100-48,5766-0489-2283-8100-48,wants women to stay in their houses and cover themselves. ISIS makes sure that they do.,racism,1,@MaxBlumenthal @mehdirhasan,#Islam,
5685-5967-2971-4979-84,5685-5967-2971-4979-84,They are always hot air. But sometimes their hot air aligns with their prophets.,racism,1,@KellyTurner99 @buellerishere @isra_jourisra @fei989,,
5634-8287-7468-2419-84,5634-8287-7468-2419-84,Right. Every Pres in history has been heavily criticized. But doing it to Obama has to be racist.,racism,1,@VannCastro @tweetybird2009 @PatVPeters,,
5593-6269-8454-9210-24,5593-6269-8454-9210-24,But Islam puts out the light and makes life too dark to bear.,racism,1,@anjemchoudary,,
5754-3106-4908-2469-76,5754-3106-4908-2469-76,"Why, when he could be elected mayor of Peshwar in a heartbeat. He could then murder Christians for blasphemy.",racism,1,@MrInsaf @georgegalloway,,
5750-6392-0362-1600-00,5750-6392-0362-1600-00,Your people's struggle is to dominate other people through violence. So fuck you.,racism,1,@MadDr11 @MaxBlumenthal,,
5766-0040-3116-0569-60,5766-0040-3116-0569-60,RT : 2011 Article: Islamists on Welfare: Paid to Plot the West's Demise,racism,1,@RavenHUWolf,,http://t.co/1ZGKuOzJqN http://t.co/G7HYxICNKt
5525-2706-4159-7690-24,5525-2706-4159-7690-24,But the fact that Islam is a declaration of war means that Islam will always produce terrorists.,racism,1,@yousufpoosuf @RKingLive2Dance @izrinhariri,,
5740-0055-8165-5120-00,5740-0055-8165-5120-00,"No matter how desperately race baiting trash like you want Islam to be a race, it's not.",racism,1,@MaxBlumenthal @CarolineFourest,,
5517-8702-7725-7050-24,5517-8702-7725-7050-24,Israel is only trying to defend itself against murderous Muslims trying to wipe it out. UN votes by Muslim nations mean nothing.,racism,1,@REMY119,,
5663-6166-5935-9130-24,5663-6166-5935-9130-24,How many Muslims there are is irrelevant. The declaration of war on mankind is clearly spelled out in Quran and Hadiths.,racism,1,@discerningmumin,,
5767-7204-4362-1579-52,5767-7204-4362-1579-52,Filthy Islam created them and is funding them.,racism,1,@Saudi_Castro @donttreadonme65 @zaki_safar,,
5670-4693-7560-3749-76,5670-4693-7560-3749-76,Not masked. The Quran and the Hadith declared war on humanity 1400 years ago.,racism,1,@truaemusic @mattybboi83 @Number10gov,,http://t.co/tuOWg1ltyj
5754-3377-6827-7809-92,5754-3377-6827-7809-92,"What black and white, terrorist scum? There is zero evidence presented. Are you a madrassa graduate?",racism,1,@AdnanSadiq01 @PTISalarKhan,,
5551-5644-4543-0819-84,5551-5644-4543-0819-84,Objecting to this is what the PC morons of Salon call racism.,racism,1,@Salon @TheMuslimGuy,#Islam,http://t.co/JsytuXHXTz
5747-8167-4233-2739-84,5747-8167-4233-2739-84,"Islam only served to slow down science. The few discoveries by Muslims were despite Islam, not because of Islam.",racism,1,@asem_1994,,
5635-4537-3860-3150-08,5635-4537-3860-3150-08,"Then, when there was no one left to rob, the Muslims returned to being dessert Bedouins still trying to rob each other.",racism,1,@obsurfer84,,
5599-3775-5052-9040-00,5599-3775-5052-9040-00,RT :  Muslim protest was a complete failure. Aussies don't want Islam here. It doesn't suit our way of life. Just l…,racism,1,@anglosaxonryder,#Lakemba,
5745-9197-1756-3719-68,5745-9197-1756-3719-68,Every border that Islam has with every other religion and non religion is bloody.,racism,1,@RaniaKhalek @MaxBlumenthal @NickKristof,,
5668-1847-0533-1610-24,5668-1847-0533-1610-24,So let's get it over with. The world needs to declare war on Islam and get rid of the cancer.,racism,1,@munthir555 @The_Beamster @Sheikh_Times4,,
5552-0751-0840-2010-24,5552-0751-0840-2010-24,It's utterly stupid to  tolerate the intolerance of Islam.,racism,1,@IAmThe1Teacher @IronmanL1 @stevecorrales80,,
5523-5221-6376-6929-92,5523-5221-6376-6929-92,All of you Islamists repeat the same brain dead lines that someone else told you to say. I've seen that one a thousand times.,racism,1,@NiceeNhess,,
5634-5916-2563-0309-76,5634-5916-2563-0309-76,"Furthermore, all the Hadiths about Aisha's age are classified as Sahih - meaning Sound.",racism,1,@obsurfer84,,
5558-8863-8873-9770-24,5558-8863-8873-9770-24,The same old lie about property rights.  But Arab women had those before Islam.,racism,1,@NNdabbour64,,
