formatted_index,formatted_id,cleaned_text,Annotation,oh_label,users,hashtags,links
5041-0614-2524-7719-68,5041-0614-2524-7719-68,"""raped"" is not a synonym for ""touched""  He just got raped by that water",sexism,1.0,@magconboysthe,,https://t.co/sFPJE0dmqX
4665-9960-2313-9000-32,4665-9960-2313-9000-32,RT : If women ruled the world.. There would be no war. At all. Just a bunch of countries that wouldn't talk to each other! #…,sexism,1.0,@LeVi_Krueger28,,
4006-5747-7005-3610-24,4006-5747-7005-3610-24,RT  Call me sexist but I don't think I wanna see a women president at this stage in my life,sexism,1.0,@frankteezy,,
5735-0712-9618-7960-32,5735-0712-9618-7960-32,RT  I'm not sexist but women drivers are bad and when i mean bad I mean BAD,sexism,1.0,@jackheathh,,
5639-1446-1111-5299-84,5639-1446-1111-5299-84,RT : Well  I checked out Jessica Valenti's Twitter. Nice objectification of men and threats of violence.,sexism,1.0,@BlackOpal80 @MT8_9,,http://t.co/xRhx…
5641-0164-9216-8359-68,5641-0164-9216-8359-68,"Yes and no.  1A issue but banned as ""sexist"" when a feminist shirt would not be...",sexism,1.0,@SultraSoV,,
5649-0815-2718-8890-24,5649-0815-2718-8890-24,How is that sexist?,sexism,1.0,@RaidersGirl20,,
5755-9646-1255-0860-16,5755-9646-1255-0860-16,Can we set up a 'let Andre escape from Kat' charity fund?,sexism,1.0,,#MKR,
5667-9072-5279-2849-92,5667-9072-5279-2849-92,RT :,sexism,1.0,@MrShikaki @_shemmie_ @srhbutts @cainejw @_icze4r @Dylof_,,http://t.co/f1uyMrdg5G
5755-9550-7214-5200-00,5755-9550-7214-5200-00,Kat you don't look suspicious at all!,sexism,1.0,,#MKR,
5723-6235-2286-2819-84,5723-6235-2286-2819-84,These NSW promo girls think way too highly of themselves.. They're not even attractive 😳,sexism,1.0,,#MKR #MKR2015,
5723-4976-5611-9619-84,5723-4976-5611-9619-84,This Colin guy is a tool... how rigged is the scoring?!! 7's for main and dessert?? How ridiculous based on past scores.,sexism,1.0,,#MKR,
5605-8382-1817-4300-16,5605-8382-1817-4300-16,"RT :  I can't favorite enough! What reproductive rights do men have? None! ""Keep in your pants!"" ""Takes two to tango!"" ""Men s…",sexism,1.0,@Kal1699 @MT8_9,,
4823-5678-7996-1560-32,4823-5678-7996-1560-32,RT  I'm not sexist but I really don't get it when girls are just like completely incompetent in the kitchen,sexism,1.0,@WisNasty2point0,,
5698-9312-6883-6839-68,5698-9312-6883-6839-68,Was your previous praise tactical or just misplaced?,sexism,1.0,@stevenbirt4real,,
5723-2868-4243-1859-84,5723-2868-4243-1859-84,"RT : RT :Katie and Nikki are frkn annoying stfu  you're not even hot lol stop
 RT:@.vid.",sexism,1.0,@HajiIshak1 @deaannnaa_,#MKR,http://t.co/cRzO2P219y
5707-5614-7361-2640-00,5707-5614-7361-2640-00,"RT : The Olympics, etc., considers marijuana a ""performance enhancing drug,"" yet you can get a DUI or DWI or w/e from it. Con…",sexism,1.0,@MsAllisonLynn,,
5642-2747-8546-5509-76,5642-2747-8546-5509-76,You linked to BLASPHEMY!!!,sexism,1.0,@Audmum1 @ILivUndrUrBed @CarolynnEva,,
5755-9619-4736-5699-84,5755-9619-4736-5699-84,Can someone please punch Kat?,sexism,1.0,,#MKR,
5700-2731-8652-9690-24,5700-2731-8652-9690-24,RT : The 'feminist' opposition to  is just another example of privileged women damseling to gain moral authority the…,sexism,1.0,@HotTakeGamer,#GamerGate,
4464-6661-2527-2350-08,4464-6661-2527-2350-08,RT : Issue with female hosts on sports broadcast is that most have no variation in tone of voice.    .,sexism,1.0,@GrumpyVancouver,#notsexist,
5723-2979-0331-4940-16,5723-2979-0331-4940-16,Hate these blonde bitches already,sexism,1.0,,#MKR,
5755-9641-9928-6250-24,5755-9641-9928-6250-24,Oh shock face from Kat....really???!??!,sexism,1.0,,#MKR,
5642-2151-6402-1600-00,5642-2151-6402-1600-00,Yup.,sexism,1.0,@JamesBolton11,,
5694-0615-5354-7390-08,5694-0615-5354-7390-08,"Name 3 prominent feminists, please.  No Google.",sexism,1.0,@chsfword,,
5759-5723-9112-0320-00,5759-5723-9112-0320-00,OH MY GOD. KAT IS SUCH A FUCKING BITCH. SO MUCH HATE,sexism,1.0,,#mkr,
5148-9539-5860-6560-00,5148-9539-5860-6560-00,RT : I'm not sexist but women need to stop trying to be country singers.,sexism,1.0,@c_marchionni,#godawful #leaveittothemen,
4169-7340-0720-9619-84,4169-7340-0720-9619-84,"RT  Call me sexist, but I'm just not comfortable with ladies reffing football.",sexism,1.0,@ElliottVKay,,
5755-9691-9084-3470-08,5755-9691-9084-3470-08,Two blondes....Twitter will be the judge  of hot!,sexism,1.0,,#mkr,
4279-5948-0089-7109-76,4279-5948-0089-7109-76,Call me a misandrist but men in hardware stores amirite  Call me sexist but shopping with women can take centuries &gt;.&lt;,sexism,1.0,@iMudassir,,
4326-4281-4556-3729-92,4326-4281-4556-3729-92,"Who gives a flying fuck?  Again, call me sexist but men shouldn't get lower back tattoos",sexism,1.0,@Rhace138,,
5755-9660-6713-5489-92,5755-9660-6713-5489-92,The promo bimbos are certainly annoying but Kat and Andre seem like truly objectionable people.. gross,sexism,1.0,,#mkr,
5759-5421-1189-3260-16,5759-5421-1189-3260-16,Suck shit Kat you dumb shit. Go back into the swamp behind ya and shut the fuck up.,sexism,1.0,,#MKR,
4206-3420-3273-7080-32,4206-3420-3273-7080-32,"There goes your attempt at an ""I'm such a deep dude"" persona.   suck my balls hoe",sexism,1.0,@Thecolouredkid_ @YesYoureSexist,,
4350-9822-9504-3480-32,4350-9822-9504-3480-32,RT  I'm not sexist but anyone that thinks males and females are equal or ever will be is naive,sexism,1.0,@TH3THINK3R,,
5652-5239-3592-3000-32,5652-5239-3592-3000-32,"Oh, missed that part of it.  No...no reason to get physical.",sexism,1.0,@SirScatters @nonirishpaddy,,
4952-9799-6347-9569-92,4952-9799-6347-9569-92,RT  Driverless cars? That would be  an improvement for some of the clowns on the road!,sexism,1.0,@GE_ClassicEvent,#notsexist,
5710-0382-4653-1360-00,5710-0382-4653-1360-00,RT : UMinn campus crime alerts will purposefully cover up details due to alerts making campus unsafe for men,sexism,1.0,@uberfeminist,,http://t.co/Gk0zV…
4160-6922-2683-2709-76,4160-6922-2683-2709-76,RT  I'm not sexist but it's extremely hard for me to listen to a female vocalist,sexism,1.0,@Joseph_MC3,,
5723-4088-3489-6160-00,5723-4088-3489-6160-00,"The girls are bringing some ""Sassy-ges"" to the table.",sexism,1.0,@mykitchenrules,#MKR,
5554-0628-8960-5159-68,5554-0628-8960-5159-68,RT  I'm not sexist but I haven't subscribed to a single female YouTuber,sexism,1.0,@Swifter_YT,,
4206-3232-2992-3939-84,4206-3232-2992-3939-84,"RT : Some women generally have a good knowledge of football, but can't fucking stand when they know shit yet think they know an…",sexism,1.0,@_JackBarlow,,
5090-7977-8033-6679-68,5090-7977-8033-6679-68,"RT  Im really not sexist, but its such a turn off when girls say bro like 20 times in every sentence. ...so fuckn ignorant. .lol",sexism,1.0,@truflo619,,
5682-3447-4359-6560-00,5682-3447-4359-6560-00,No true feminist...,sexism,1.0,@lNDlEROCK,,http://t.co/RNU2MPjhjh
5756-0567-5117-5390-08,5756-0567-5117-5390-08,Ahh Manu well said! Just cook good food and you'll be OK. Simples! Back in ya box bitch Kat,sexism,1.0,,#MKR,
5755-9948-9806-8280-32,5755-9948-9806-8280-32,OMG the sluts are going to get through,sexism,1.0,,#mkr,
5413-9572-8040-3500-16,5413-9572-8040-3500-16,"RT : I'm not sexist but the female football commentators on  are horrible to listen to. All of them have deep, man voices…",sexism,1.0,@CUTigerBruce @espn,,
5759-5905-9406-2869-76,5759-5905-9406-2869-76,"Kat on not winning people's choice: ""I can't believe this! Obviously those campers were voting strategically.""",sexism,1.0,,#mkr #delusionalcow,
5558-1027-2842-3829-76,5558-1027-2842-3829-76,RT  Im not sexist but i can say with certainty i havent had an intelligent conversation with a female under 30.,sexism,1.0,@kieranmorrisny,,
5265-0550-1308-4979-84,5265-0550-1308-4979-84,RT  I refuse to watch a football game if a woman is commentating. I'm not sexist but some people just don't belong in some things,sexism,1.0,@oglesbeast,,
5645-7748-0812-7980-16,5645-7748-0812-7980-16,Where is your knowledge of feminism derived?,sexism,1.0,@boxedariel,,
5155-0048-4556-1080-32,5155-0048-4556-1080-32,"RT : My last Tweet, ???? Im not sexist but ummmm I think the whole equality thing is getting out of hand. We are different, …",sexism,1.0,@DeaniesWienies,,
5723-3878-0671-1070-08,5723-3878-0671-1070-08,Maybe the girls should have less tickets on themselves and worry about the cooking.,sexism,1.0,,#MKR,
5023-1919-5909-2629-76,5023-1919-5909-2629-76,Just one of the many perks.  Im not sexist but if women and men played in the mlb together id stop watching,sexism,1.0,@FzFarulsweg,,
3916-6602-1628-5349-76,3916-6602-1628-5349-76,"RT  I'm not sexist, but this female commentator is killong me.",sexism,1.0,@_Gladi_,,
5765-0335-6543-3820-16,5765-0335-6543-3820-16,RT :,sexism,1.0,@ObsidianFiles @BlackBeard20096 @MT8_9 @deanesmay,#BackAwayFromTheTable #TheEnvyGap #BlackFeminists,http://t.co/Rk3CttHZhu
4006-5699-2408-0560-00,4006-5699-2408-0560-00,"RT  I'm not sexist but I think in general, men make waaaay better music",sexism,1.0,@katedudge,,
4964-2551-3045-3280-00,4964-2551-3045-3280-00,ESPN doesn't care what you think.  I'm not sexist but female sports reporters need to come to an end. Immediately,sexism,1.0,@Andrew_Doe24,,
5755-9659-9788-7530-24,5755-9659-9788-7530-24,How annoying is this Kat on,sexism,1.0,,#mkr,
5624-3030-5492-3000-32,5624-3030-5492-3000-32,True.  Just 99% of them.,sexism,1.0,@She_TheWolf,,
4330-0593-5099-7889-92,4330-0593-5099-7889-92,RT  I'm not sexist..but man Women's Basketball on ESPN is unwatchable,sexism,1.0,@ShaunMichael80,,
5232-2451-8144-5859-84,5232-2451-8144-5859-84,"RT : Some of you people will call me sexist and misogynistic like the 1 person I respect the most, the one person who raised me…",sexism,1.0,@OhSoSoftley,,
5402-6073-1825-1930-24,5402-6073-1825-1930-24,"Yeah, if there's one thing I know about old pin-ups ads, it's that they were definitely not sexist.",sexism,1.0,@AJKauffman @CocaCola,,
5685-9527-9470-9479-68,5685-9527-9470-9479-68,RT  I'm not sexist but girl comedians just don't make me laugh...,sexism,1.0,@LifeOfCRiley_,,
5276-0459-6852-9200-00,5276-0459-6852-9200-00,RT  Call me sexist but am I the only person who doesn't find any female comedian funny in any way at all.,sexism,1.0,@Cam_Matthews97,,
5755-9703-2104-0259-84,5755-9703-2104-0259-84,she's NO relative of mine her surname is different,sexism,1.0,@halcyon2001 @mykitchenrules,#KatTheCunt #MKR,
5759-5467-9877-6199-68,5759-5467-9877-6199-68,I dislike kat and andre so much i even got kat's name wrong. 😡,sexism,1.0,,#mkr #mkr2015,
5723-4469-1443-6869-76,5723-4469-1443-6869-76,its melting because you didnt put it in the freezer before you served it you dumb skank!,sexism,1.0,,#MKR,
3950-1095-8898-1189-76,3950-1095-8898-1189-76,"I've never met a sexist who can spell ""genuinely.""  Call me sexist or whatever, but ive never actually met a genuinly funny girl",sexism,1.0,@Dylahoogaah,,
5735-0702-3045-6890-24,5735-0702-3045-6890-24,"RT  I'm not sexist, but women's basketball makes me want to puke",sexism,1.0,@pay_pay247,,
5619-0732-4118-6300-16,5619-0732-4118-6300-16,"RT : I was fortunate to catch this right when it was posted, 4th reply in. Get rekt Anita.",sexism,1.0,@brofreq,#GamerGate,http://t.co/PCtrrmpV2y
4808-4986-6025-7459-84,4808-4986-6025-7459-84,Ew  Been going to social clubs since i was 12 and to see women in the main bar is mad like just not right.,sexism,1.0,@Matty__Clark,#notsexist,
4521-2596-4835-6350-08,4521-2596-4835-6350-08,RT  There is NOTHING more retarded then a female who talks shit about kicking a guys ass. I'm not sexist but get real bitch.,sexism,1.0,@Mr_BrightEyes,,
4895-1495-9324-2090-24,4895-1495-9324-2090-24,RT : Hmmm Thor is now a girl I'm not sexist but I hope this gets explained really well     …,sexism,1.0,@Carlos88Nunez @Marvel,#Thor #Loki #MarvelMovies #Odi,
4713-5152-6527-4960-00,4713-5152-6527-4960-00,"It kills me when men say women should take ""I'd fuck her"" as a compliment and not objectification when men will literally fuck an apple pie.",sexism,1.0,,,
4210-3866-9902-7950-08,4210-3866-9902-7950-08,RT  I'm not sexist but BITCHES CANNOT DRIVE,sexism,1.0,@NathanWassihun,,
3836-9881-8698-4570-24,3836-9881-8698-4570-24,Oh I do plenty but picking rotten low hanging sexist fruit doesn't take up much of my day :),sexism,1.0,@SxFlint93,,
5692-8288-0938-9959-68,5692-8288-0938-9959-68,Women referees suck man. And no I'm not sexist but damn bruh that wasn't a good call,sexism,1.0,@lathandd,,http://t.co/hBBh4lcCqs
4952-9830-9805-0560-00,4952-9830-9805-0560-00,RT : It's National Kit Kat day in Belarus. Go on treat ur girlfriend or wife and ask them if they 'Fancy a finger'!,sexism,1.0,@stephenpeel1,#notsexist,
5706-9701-4461-0800-00,5706-9701-4461-0800-00,"Hey, I had him on 3 of my 4 fantasy teams...",sexism,1.0,@RyanSorge19,,
4749-0939-8104-4160-00,4749-0939-8104-4160-00,MALE OPINION ALERT!  I swear im not sexist but WNBA..........I'll pass lol,sexism,1.0,@MusicYouSavedMe,,
5760-8490-1109-2030-08,5760-8490-1109-2030-08,"RT :       wont drive this 2 my ""Stop Raping Class"" then http:/…",sexism,1.0,@Shimmyfab @Icarusflyer @JustLaurenB @wesleywitch @GibberAUS @MT8_9 @TheJusticeCat,,
5633-2001-9141-2670-08,5633-2001-9141-2670-08,It took the priest a year to convince her to tell the cops.  He served 5 years out of 20.  She got 26 months.,sexism,1.0,@Dreysander1,,
5687-6666-1005-6769-92,5687-6666-1005-6769-92,...WTF?,sexism,1.0,@The_Loki_Jotunn,,
5653-6795-5673-0680-32,5653-6795-5673-0680-32,. K...,sexism,1.0,@rosesareswift,,http://t.co/IyxiisJajP
5723-3339-7579-7150-08,5723-3339-7579-7150-08,"I'm evil lol they are not models, they hand out free crap in. Night clubs lol",sexism,1.0,@amsatweet,#MKR #slaggyNOTsassy,
5699-2632-6955-5530-24,5699-2632-6955-5530-24,RT : Live footage of Patricia Arquette asking gays &amp; people of color to help her get better pay.,sexism,1.0,@CraigSJ,,http://t.co/oDcIyqbknM
4956-7978-0122-2759-68,4956-7978-0122-2759-68,RT :  that a female referee? Not sexist but...  They are only for camps right? This will not be happening in the regu…,sexism,1.0,@JusFappinAround @nflis,,
5656-0960-4743-4300-16,5656-0960-4743-4300-16,"Yeah but ur irrelevant &amp; relevant but old/isolated/fits the definition of ""the exception that proves the rule"" 2 more than I find.",sexism,1.0,@AnonMnom,,
5645-4542-9484-7489-92,5645-4542-9484-7489-92,"Men just aren't funny!  how many men does it take to mop a floor? None, that's women's work.",sexism,1.0,@DammitBoden,#notsexist,
5723-4741-9209-2529-92,5723-4741-9209-2529-92,Not dumb blondes...mmm...perhaps just delusions of adequacy?,sexism,1.0,,#MKR,
5333-4075-0218-8129-92,5333-4075-0218-8129-92,RT  How come when women joke about men its not sexist but the other way round it is ?,sexism,1.0,@ollie_lobb,,
4206-3187-5921-5139-84,4206-3187-5921-5139-84,RT  Not sexist but girls on twitter aren't funny,sexism,1.0,@JabzzSalam,,
4513-8312-7122-7969-92,4513-8312-7122-7969-92,"RT :  tell the bitches, whores, sluts and cunts to change their behavior...that'll end the speech",sexism,1.0,@RICANROLL @YesYoureSexist,,
5755-9565-1930-7180-16,5755-9565-1930-7180-16,she's always hideous!,sexism,1.0,@mary__kaye,#mkr,
5703-5740-1150-3120-00,5703-5740-1150-3120-00,RT :  Least we not forget the suffragettes handing out white feathers during WW1   htt…,sexism,1.0,@The_Loki_Jotunn @MT8_9 @TonyChiaroscuro @SexyIsntSexist,,
5637-1852-8810-1189-76,5637-1852-8810-1189-76,"RT :    Actually I have. The same thing happens to African Americans, Spanish, and other minorities.",sexism,1.0,@jarod_frye @MT8_9 @robinashe @hayleyjoness,,
5759-5992-5051-9200-00,5759-5992-5051-9200-00,RT : Oh Kat you do something new every night to make yourself look even more like a hateful twat!,sexism,1.0,@staceyrenee78,#mkr #karmaisabitch,
5755-9685-5473-5249-92,5755-9685-5473-5249-92,Not watching  again until Kat is booted off. What a joke.,sexism,1.0,,#MKR,
3823-5055-7957-9840-00,3823-5055-7957-9840-00,"RT : And don't call me sexist for that last tweet. If women want equal praise for success, they gotta take equal blame for failur…",sexism,1.0,@Lex_Naija,,
5637-3437-5582-2780-16,5637-3437-5582-2780-16,"Well, I'd have no way of knowing. General point.",sexism,1.0,@JDefiant9,,
5631-5224-6678-8800-00,5631-5224-6678-8800-00,Have fun on the wrong side of history  All female Ghostbusters. No I am not sexist but fuck that shit.,sexism,1.0,@MCAcapello,,
5723-4125-2550-6270-08,5723-4125-2550-6270-08,My god.  You can't use a can opener?  Reminds me of a joke I know.  How do you know a blonde.....?,sexism,1.0,@mykitchenrules,#MKR,
5620-5142-7581-6899-84,5620-5142-7581-6899-84,RT : Female President? Im not sexist but this country ...... Ill just reserve my comment,sexism,1.0,@enoyong1,,
5670-8675-2892-8460-16,5670-8675-2892-8460-16,"RT :  Im not sexist but, emotional decisions can be counter productive in terms of team spirit but are very e…",sexism,1.0,@LemboTheGeneral @Leigh_Lupindo,,
4742-6122-8399-7680-00,4742-6122-8399-7680-00,RT :   There is a reason there is only been one female prime minister. She fucked up everything …,sexism,1.0,@Connorsmart3 @rorybrown_mufc @YesYoureSexist,,
4713-5014-9046-7589-76,4713-5014-9046-7589-76,RT  Women are reckless drivers.,sexism,1.0,@CjSajulga,#Notsexist #realtalk,
5570-4321-0149-5770-24,5570-4321-0149-5770-24,LOL EDGY    im not sexist but why are women allowed opinions lol,sexism,1.0,@ein_schoner_tag @shedevil___ @ahptik,,
5640-8119-7685-7029-76,5640-8119-7685-7029-76,No joke.  A Swedish lawmaker proposed requiring men to sit when they pee...,sexism,1.0,@dultery @Dex_is_Dope,,
5541-3724-2554-2330-24,5541-3724-2554-2330-24,Where does Oktar find all of you bimbos to endlessly repeat his stupidity.,sexism,1.0,@BadeOzcelik,,
5695-1868-1899-8599-68,5695-1868-1899-8599-68,"RT : The average anti- ""man""; pretending to protect women's rights as a last resort attempt to lose virginity.",sexism,1.0,@ItalyGG,#gamergate,http://t.c…
4895-1501-7440-4849-92,4895-1501-7440-4849-92,"RT  Why is Thor a woman now? I am not sexist, but it just doesn't make any fucking sense.",sexism,1.0,@StayingInPower,,
5723-5639-6630-4259-84,5723-5639-6630-4259-84,RT : Drasko takes a peek out of the closet then Bianca pushes him back in.,sexism,1.0,@FakeToniaTodman,#MKR,
5648-1511-2566-2190-08,5648-1511-2566-2190-08,Proof?,sexism,1.0,@ListenToRaisin @trishesdishes,,
5759-5768-0994-4600-32,5759-5768-0994-4600-32,Kat can fuck off home now....,sexism,1.0,,#mkr,
5028-2718-9385-9779-84,5028-2718-9385-9779-84,"If you have to ask, you'll never know.  Bruh I'm not sexist but is the WNBA that entertaining??",sexism,1.0,@RapperGuyDMV,,
5723-3138-9611-1640-32,5723-3138-9611-1640-32,"I don't know what's bigger, her forehead or her ass..?",sexism,1.0,@mykitchenrules,#mkr #KillerBlondes,
5623-5284-2460-3939-84,5623-5284-2460-3939-84,RT :    Must suck not being able 2 reach your own potential in life. Must be cuz you're a woman…,sexism,1.0,@FO7935 @garbage_person @MT8_9 @thisonesakillaa,,
5723-2768-0542-1669-76,5723-2768-0542-1669-76,Tart. Lol.,sexism,1.0,,#MKR,
5723-6552-6959-2019-84,5723-6552-6959-2019-84,RT : I HATE THESE GIRLS SHUT UP AND STOP CALLING YOURSELVES PRETTY AND HOT,sexism,1.0,@AnimeMae,#youredreaming #notevenpretty #MKR2015 #MKR,
5675-1287-4088-5500-16,5675-1287-4088-5500-16,"But, sorry, who cares that the National Organization of Women was commie, you were talking about a trucker, right? Too funny.",sexism,1.0,@PrivWhiteGirl,,
5090-7997-8034-8810-24,5090-7997-8034-8810-24,"RT  I'm not sexist, but I'm just not a fan of all these women rappers.",sexism,1.0,@TheBigKahuna12,,
5638-3150-8507-8200-32,5638-3150-8507-8200-32,.  He gets to legally decline parenthood during first 22 weeks after conception. 2 more weeks for her  after.,sexism,1.0,@scarmichael18 @shaner38,#choice,
5756-0459-0432-8789-76,5756-0459-0432-8789-76,"""We're still two young, hot blondes""... well you're young...",sexism,1.0,,#MKR,
4105-7684-8997-7409-92,4105-7684-8997-7409-92,"Too bad they won't take you!  Call me sexist all you want, but I'll take a woman who can cook over one who can't ANY DAY",sexism,1.0,@the_CRISPY_man,,
5759-5883-8907-5559-68,5759-5883-8907-5559-68,"'didn't blow my mind. it blew something else, if u know what i mean'",sexism,1.0,,#mkr,
5755-9586-1557-7029-76,5755-9586-1557-7029-76,Faaark! The blonde promo girl walks with all the grace of a tradie in drag,sexism,1.0,,#mkr,
5767-5918-9718-0689-92,5767-5918-9718-0689-92,RT : I am of the firm belief that this image should be sent to all new people supporting,sexism,1.0,@penguinman2,#gamergate,http://t.co/XXvqj0dd6y
5018-7419-6369-3959-68,5018-7419-6369-3959-68,DID YOU HEAR THAT GUYS HE'S JUST JOKING THEREFORE THE PRATTLE FROM HIS MOUTH CANNOT BE SEXIST,sexism,1.0,@dankfrogmusic @TradeChat,,
4391-4497-2751-6099-84,4391-4497-2751-6099-84,"Hahahah fuck you  Call me sexist, but girls just shouldn't curse.",sexism,1.0,@JonaahV,,
5723-3017-0108-9240-32,5723-3017-0108-9240-32,“: Nice arm pit vagina   It's deconstructed.,sexism,1.0,@myallsw,#MKR,http://t.co/sv9HLKQ2aM”
4714-2841-0263-1059-84,4714-2841-0263-1059-84,RT :  3. I am all for women of power it's a great thing 4. Depending upon your sex there is bias towards the g…,sexism,1.0,@DM_BallSoHard @YesYoureSexist,,
3825-1867-6865-2940-16,3825-1867-6865-2940-16,"RT :  that's a sexist tweet, why just women? Sexism can work both ways",sexism,1.0,@JoshCobbler92 @YesYoureSexist,,
5723-6457-1891-1349-76,5723-6457-1891-1349-76,To what end?  It's a beta cuck in a college rag...,sexism,1.0,@g56yu @PoliticalCynic,,
5638-1269-7490-2190-08,5638-1269-7490-2190-08,Can you explain why what she described there is wrong?,sexism,1.0,@PsychScientists @geekyjessica,,
3941-5881-2900-2330-24,3941-5881-2900-2330-24,RT :  they need to get back in the kitchen if you ask me. Lol,sexism,1.0,@Trizzzy13 @Travieee23,,
5669-5626-2571-5280-00,5669-5626-2571-5280-00,".  For the first time ever I couldn't tell (been wrong sure, but I at least think I know) at all.  It's evidently real.",sexism,1.0,@whatever541 @Iribrise,,
4152-4514-9703-1349-76,4152-4514-9703-1349-76,"*vomit*  I'm not sexist by any means, but no woman should ever be allowed to announce a football game",sexism,1.0,@j_degeorge,#KnowYourPlace,
5678-0821-5275-2739-84,5678-0821-5275-2739-84,Nope.,sexism,1.0,@Securedhappines @WilliamBakerGG @JudgyBitch1,,
5669-8987-6693-0449-92,5669-8987-6693-0449-92,RT :  Learning some history will help you not take credit for things your movement didn't do,sexism,1.0,@Oneiorosgrip,#adviceforyoungfeminists,http://t.…
5735-0687-0268-1870-08,5735-0687-0268-1870-08,RT  I'm not sexist but is this bitch serious? !! Good luck living alone for the rest of your life. ..,sexism,1.0,@jeremymonti98,,
5712-7517-7746-6659-84,5712-7517-7746-6659-84,I respect your use of Sprinkles Are For Winners.,sexism,1.0,@LeoKikiLady89,,
5092-0453-4682-7310-08,5092-0453-4682-7310-08,RT  Women shouldn't be football announcers.,sexism,1.0,@k_halvy22,#NotSexist #JustAnnoyed,
