formatted_id,cleaned_text,Annotation,oh_label,users,hashtags,links
5592-2394-0115-9930-24,"rt : theresa may today pleaded with  not to leave. jews build wealth, muslims take welfare. simple economics.",racism,1.0,@Greg389,#Jews,http://t.co/lvaN…
5685-4654-3055-1589-76,"and not only did mohammed burn them, the crucified, stoned and beheaded people.",racism,1.0,@KellyTurner99 @buellerishere @isra_jourisra @fei989,,
5749-1272-1524-6830-08,"horseshit. mohammed led 17 major military expeditions, owned 28 slaves, had 9 wives - one six years old.",racism,1.0,@biebervalue @greenlinerzjm,,
5679-3951-2812-2449-92,"saudi cleric: ""sun revolves around the earth."" now you can understand why madrassa graduates have no skill but jihad.",racism,1.0,,#Islam #science,
5761-1355-8032-8920-32,about 90% of iraqi civilians are killed by muslims.,racism,1.0,@mutaSawwif,,
5762-5719-7484-5560-32,another taqiyya liar making up garbage for the sake of  mohammed's desire to exterminate jews.,racism,1.0,@RaniaKhalek @MaxBlumenthal,,
5563-5228-7204-1959-68,the filthy palestinians have attacked and murdered jewish children in their schools in the past.  so fuck palestinians.,racism,1.0,@yuskan0723,,
5591-0638-7545-1820-16,"the prophet mohammed used catapults on cities, killing women and children. so you just called him a coward.",racism,1.0,@_Ibn_Latif @Colonel_Shami,,
5573-6108-4294-6309-76,that's only because they don't follow islam.  islam tells women to stay at home.,racism,1.0,@Ammaawah @jm111t,,http://t.co/UQLoWj1GjS
5559-0893-0576-9900-16,"true, no other ideology is as vile, murderous, backwards and stupid as islam.",racism,1.0,@KamelNasrEldien,,
5740-1523-1313-1130-24,"rt : cnn reports on the murders of homosexuals by the islamic state, but the problem isn’t just isis, it’s islam",racism,1.0,@4chunat1,,http://t.co/ocd3R…
5635-7729-0127-1840-00,the me led the world in development before there was islam and fell behind the world after islam.,racism,1.0,@obsurfer84,,
5526-2147-2418-8899-84,we could deal with the violent fanatics if the texts of islam weren't producing more.,racism,1.0,@P_Valerianus @CTFleaMarkets @ibnHlophe @eeviewonders,,
5617-1611-6917-9770-24,"scandinavian people will not be displaced by jews, they'll be displaced by muslim",racism,1.0,@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime,,
5660-0642-9903-9050-24,rt : australia: lebanese muslim husband 12-year-old pregnant wife arrested  sexual abuse   http…,racism,1.0,@Juliet777777,#PATRIOTS,http://t.co/SVYLP1qcDP
5626-6636-4939-1409-92,obviously you know nothing about your religion.  permission to rape slave girls is in both quran and hadiths.,racism,1.0,@aliabdalhamid @izrinhariri,,
5763-5440-3482-8780-16,and of course you are campaigning for the destruction of the israelis because you are a racist anti-semite asshole.,racism,1.0,@jncatron,,
5528-5691-5353-8250-24,notice how the news media avoids pointing out that the murderers of the 12 french are followers of the death cult of .,racism,1.0,,#Islam,
5670-7372-9054-6380-16,"mohammed was a slave trader, jesus wasn't.  mohammed was a sexist, jesus wasn't.",racism,1.0,@truaemusic @mattybboi83 @Number10gov,,
5670-8110-2095-8350-08,"a religion who has a murdering, hating pedophile at it's core has no room to be reformed.",racism,1.0,@truaemusic,,
5720-7609-1470-3029-76,then why do you smelly rag heads keep moving to britian?,racism,1.0,@ummahwitness,,
5523-0452-1637-2860-16,here is how  inscribes the inferiority and abuse of women.,racism,1.0,@ilhaam673 @B1236M,#Islam,http://t.co/wXassJMkTd
5755-0820-8212-5619-84,fighting for him would mean not forcing him to become a jihadi hate monster.,racism,1.0,@santafeez,,http://t.co/tFmpcH1aZH
5525-3218-1038-6860-16,"rt : look at all the land occupation in green, of ""islamic domination"". we are being duped.",racism,1.0,@riwired @jemfleming @GOP @VileIslam,,http://t.c…
5750-9142-0140-1509-76,"if they were aligned with neo nazis, the muslims would love them.",racism,1.0,@Hesiod2k11 @MaxBlumenthal @BlueDuPage,,
5749-2083-3459-5969-92,"you fucking moron, slavery is approved right in the quran. read it you stupid idiot.",racism,1.0,@biebervalue @greenlinerzjm,,
5747-5769-6303-3169-92,forget about your anti jewish bigotry. how do you explain hamas beheading gays and honor killing women,racism,1.0,@ardiem1m @MaxBlumenthal @oldkhayyam,,
5766-1364-2910-5730-56,what christian who is not insane would want to live under sharia law?,racism,1.0,@dankmtl @PeaceNotHate_,,
5750-8910-6029-4289-92,rt : “the lofty status of women in : woman's testimony ½ the weight of a man's.”   http:…,racism,1.0,@AnneBayefsky,#Islam #WomensDay,http://t.co/cSIckyEr8T
5635-4504-8520-7450-24,even your own link shows that the jews were the producers and the muslims lived by stealing others property.,racism,1.0,@obsurfer84,,
5681-0693-0054-3649-92,"rt : saudi arabia sewer qurans. when you can't express your hatred for islam in words, throw them in the sewer.",racism,1.0,@God_Equals_Sant,,http://t.co…
5525-3094-8496-3180-16,who is justifying christianity microbrain. i don't have a religion. why are you hiding islamic barbarity,racism,1.0,@HillaryGuess @riwired @izrinhariri,,
5552-0146-1488-2179-84,the department of justice report says blacks kill at 6 times the rate of whites.,racism,1.0,@JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch,,
5533-6096-0438-5630-08,"mohammed led 17 major military expeditions.  most offensive.  he raped, robbed, murdered, lied, slaved, and was a pedophile.",racism,1.0,@SevilZadeh,,
5603-1148-0457-7649-92,isis has slavery because the prophet mohammed was a slave owner and trader.,racism,1.0,@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53,,
5744-2341-3579-6490-24,"rt : gang-raped saudi woman gets 200 lashes, jail time. saudis on un ""human rights"" council.",racism,1.0,@AnneBayefsky,,http://t.co/et8DDsmTrp http://t.c…
5517-8771-7168-6200-32,muslims are fighting with every religion and none religion on the face of the earth.  but we are suppose to believe it's jews fault,racism,1.0,@REMY119,,
5754-7549-0250-6170-24,and the lying muslims claimed that all of their attacks were only done because they were preemptive.,racism,1.0,@harmlesstree2,,
5682-4001-1490-9100-16,"rt : ""muslim americans feel they've been targeted” - obama

no mention of jews, victims 60% of the time (h/t ) http:…",racism,1.0,@Cameron_Gray @joelengel,,
5603-1890-8612-0960-00,raping children is what mohammed did.,racism,1.0,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53,,
5525-5935-8643-4170-24,that hadith is specific to ap.  many others are specific to war on non believers everywhere.,racism,1.0,@ibnHlophe @eeviewonders @CTFleaMarkets,,
5678-1521-0959-9089-92,the saudis will arm sunni rebels in yemen. civil war is inevitable.,racism,1.0,@Joyce_Karam,,
5766-0681-3107-3309-44,mohammed was a genocidal bigot who attacked jews and christians. isis and hamas do exactly the same.,racism,1.0,@MaxBlumenthal @mehdirhasan @tnr,,
5602-9392-6502-8140-16,rt :   ? i think the word you're searching for is,racism,1.0,@PeterTownsend7,#isis #muslim #Islamophobia #Islamorealism,http://t.co/NyihT8Bqyu http://t.c…
5660-0561-8905-8659-84,rt :   why beheadings? because it's in the book!,racism,1.0,@PeterTownsend7,#Islam #ISIS,http://t.co/CcVAw1M7LF http://t.co/CGDLnBIbkK
5696-8794-3452-8199-68,there are many supposed americans that work to destroy america.,racism,1.0,@Nick_d_Williams,,
5658-8731-2291-0579-84,oh good. that get's them out from behind the civilians so that the peshmerga can kill them.,racism,1.0,@TheInfoIslam,,
5670-3082-7360-3299-84,"yeah, i know. being a human being is against islam. islam must be outlawed.",racism,1.0,@ILTAFSHEHZAD,,
5660-5461-3879-5050-24,when you wake up tomorrow you will find that daesh reports were as real as your 72 virgin pigs.,racism,1.0,@golddinar1 @uygaraktas @Islam4EA,,
5670-8087-1472-0170-24,the followers of the religion give a shit about the prophet of the religion. he is their example and always will be.,racism,1.0,@truaemusic,,
5763-5302-6547-3930-24,and while all other religious groups globally are under genocidal attacks by muslims you blame the jews.  utterly  stupid.,racism,1.0,@roisin_morgan,,
5634-8190-7992-5969-92,mohammed was a caravan robber.  isis steals others property.,racism,1.0,@teddyboylocsin @tweetybird2009 @PatVPeters,,
5620-4905-2154-4010-24,"rt : pakistan is a nation of haters, killers and savages. see this  tweet. barbarism is in the masses' minds.",racism,1.0,@sudixitca @Razarumi,,http://t.c…
5641-7935-6356-8540-16,"i already brought you proof straight from my qurans. if you refuse to read it, then shut up and leave.",racism,1.0,@buttercupashby @MaDaSaHaTtEr_17,,
5740-1872-2202-9390-08,"muslims train babies to hate and murder, then use them for propaganda.",racism,1.0,@Col_Connaughton,,http://t.co/c7DlwIXjPc
5767-4624-3214-3439-36,and muslims are murdering raping and forcefully converting christians in egypt and have been for centuries.,racism,1.0,@AAlwuhaib1977,,
5648-8797-9252-9290-24,"yes, jews are tired of being murdered by muslims. so what?",racism,1.0,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5548-5523-8822-1340-16,you and your religious brothers are the real filth of the earth. pkk rescued yezidis from your animal friends.,racism,1.0,@harun_yahya,,
5754-6270-1217-9029-76,the arabian peninsula was once full of jews and christians. they were decimated by the muslims. max is helping them finish it,racism,1.0,@MaxBlumenthal,,
5719-1369-5191-6460-16,"lol. first you deny that islam permits the rape of slave girls, then you verify it. get lost. i'm tired of you.",racism,1.0,@DianH4,,
5720-6213-5901-0320-00,good. anything is better than having islamofascists in power.,racism,1.0,@Beltrew @iyad_elbaghdadi,,
5767-4300-8114-0610-56,and of course christians all over the world are oppressed daily by muslim bigotry.,racism,1.0,@AAlwuhaib1977 @dankmtl @PeaceNotHate_,,
5744-7020-4731-7200-00,so now you taquiyya liars deny what is explicit in the quran.,racism,1.0,@YusufPeaceful @Clashoftherats @tummala82 @IndyVoices,,http://t.co/u1r2GhUon9
5536-3213-2346-5560-32,"the idea about all of these ""moderate"" muslims is oversold.  most are extremists.",racism,1.0,@CamilleHughes16 @_Watch_Observe_,,http://t.co/cQJ6cNdGow
5551-5686-6561-3639-68,objecting to this is what the pc morons of salon call racism.,racism,1.0,@Salon @TheMuslimGuy,,http://t.co/pEPfxlLKfu
5713-5696-8280-9610-24,.....80% of afghan civilians are killed by taliban. so it is a service to mankind to bomb the taliban.,racism,1.0,@DianH4 @ExposeFalsehood,,
5592-3172-0801-5950-08,islam killed it.,racism,1.0,@drazmat22,,
5533-5977-7930-0270-08,this is a more complete picture of the bigotry of islam than your selective lie.,racism,1.0,@KhaledHamaki,,http://t.co/raGDag6tmL
5622-5167-4861-8469-76,the muslims are out of control and determined to steal the last tiny piece of land left to the jews,racism,1.0,@nyc2peach @sajid_fairooz @IsraeliRegime,,
5758-2313-6412-6970-24,in fact many muslim countries have the same odious laws as daesh. this shows sex slaves are approved in ksa.,racism,1.0,@sweden,,http://t.co/rlwz0BqUBs
5641-7000-1771-2700-16,the fact is that mohammed was every bit as vile and sick as isis. he is their model.,racism,1.0,@buttercupashby @MaDaSaHaTtEr_17,,
5539-4663-1289-4670-08,"obviously the driving meme of islam is world domination, if it be by force, intimidation, or persuasion.",racism,1.0,@KhaledHamaki,,
5766-0020-5237-1910-40,we are in an era where everyone has come to understand what the real  is all about.,racism,1.0,,#Islam,http://t.co/evEtQqChxZ
5559-1685-4599-1020-16,saudi arabia - a nation of islamolunatics hiding from the islamolunatics they helped to create.,racism,1.0,@GENUG @TheMuslimIssue,#Islam,
5684-7911-8716-7640-32,rt : muslim found guilty of plotting to behead british soldiers-cases like this need the death penalty,racism,1.0,@DavidJo52951945,,http://t.co/Yc4rO5UU…
5623-4018-3647-8670-08,and i'm not sure how you can yammer about homelessness when muslims are still murdering people for apostacy and blasphemy.,racism,1.0,@UmarMal,,
5553-8646-5434-0830-08,you are lying. most muslims are still extremists.,racism,1.0,@LibyaLiberty @SumbelinaZ,,http://t.co/u7L1uPRN7L
5587-7483-9398-2439-68,rt : the next successor to the saudi throne will be the son of a slave girl,racism,1.0,@ThePoliticalHat,,http://t.co/C1XmXLtLXQ http://t.co/WtDeBOE1HA
5527-0309-0038-9479-68,"the prophet mohammed was a terrorist, and he knew islam.",racism,1.0,@hu_4u,,
5617-0972-0092-6970-24,i know about judaism.  i don't recommend it.  but most jews are secular.,racism,1.0,@OdiniaInvictus @SirajZarook @BilalIGhumman @IsraeliRegime,,
5558-1306-9545-1610-24,and all the hatred was started by your pedophile prophet.  now you are finally getting it back.,racism,1.0,@NNdabbour64,,http://t.co/L8VgSNBDQX
5767-4691-1232-7089-92,"wrong again, it is the muslims murdering the hindus in india, kashmir, bangladesh, and pakistan.",racism,1.0,@AAlwuhaib1977,,
5521-7826-7927-8840-32,imam's who disagree with jihad are attacked by muslims.  so where are these moderate muslims?,racism,1.0,,#Islam,http://t.co/hkh5tyEIej
5622-4754-4076-3950-08,yes they are jew hating barbarians.,racism,1.0,@sajid_fairooz @IsraeliRegime,,
5743-2526-4085-1850-24,liar. those hadith come from the usc muslim student association hadith web site. and here is more.,racism,1.0,@Clashoftherats,,http://t.co/v9w4T4izgk
5525-5341-0218-5569-92,it's called execution or conversion at sword point.  you're welcome.,racism,1.0,@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan,,
5722-5333-0656-7889-92,these campaigns are all lies that try to portray islam to the west as being the exact opposite of what it really is - barbaric.,racism,1.0,@CTVToronto,,
5651-8544-5584-0440-32,"rt : authorities will use anti semitic attacks on twitter by muslims and the left to introduce laws against hate speech ,re…",racism,1.0,@royalmarine1980,,
5766-0489-2283-8100-48,wants women to stay in their houses and cover themselves. isis makes sure that they do.,racism,1.0,@MaxBlumenthal @mehdirhasan,#Islam,
5685-5967-2971-4979-84,they are always hot air. but sometimes their hot air aligns with their prophets.,racism,1.0,@KellyTurner99 @buellerishere @isra_jourisra @fei989,,
5634-8287-7468-2419-84,right. every pres in history has been heavily criticized. but doing it to obama has to be racist.,racism,1.0,@VannCastro @tweetybird2009 @PatVPeters,,
5593-6269-8454-9210-24,but islam puts out the light and makes life too dark to bear.,racism,1.0,@anjemchoudary,,
5754-3106-4908-2469-76,"why, when he could be elected mayor of peshwar in a heartbeat. he could then murder christians for blasphemy.",racism,1.0,@MrInsaf @georgegalloway,,
5750-6392-0362-1600-00,your people's struggle is to dominate other people through violence. so fuck you.,racism,1.0,@MadDr11 @MaxBlumenthal,,
5766-0040-3116-0569-60,rt : 2011 article: islamists on welfare: paid to plot the west's demise,racism,1.0,@RavenHUWolf,,http://t.co/1ZGKuOzJqN http://t.co/G7HYxICNKt
5525-2706-4159-7690-24,but the fact that islam is a declaration of war means that islam will always produce terrorists.,racism,1.0,@yousufpoosuf @RKingLive2Dance @izrinhariri,,
5740-0055-8165-5120-00,"no matter how desperately race baiting trash like you want islam to be a race, it's not.",racism,1.0,@MaxBlumenthal @CarolineFourest,,
5517-8702-7725-7050-24,israel is only trying to defend itself against murderous muslims trying to wipe it out. un votes by muslim nations mean nothing.,racism,1.0,@REMY119,,
5663-6166-5935-9130-24,how many muslims there are is irrelevant. the declaration of war on mankind is clearly spelled out in quran and hadiths.,racism,1.0,@discerningmumin,,
5767-7204-4362-1579-52,filthy islam created them and is funding them.,racism,1.0,@Saudi_Castro @donttreadonme65 @zaki_safar,,
5670-4693-7560-3749-76,not masked. the quran and the hadith declared war on humanity 1400 years ago.,racism,1.0,@truaemusic @mattybboi83 @Number10gov,,http://t.co/tuOWg1ltyj
5754-3377-6827-7809-92,"what black and white, terrorist scum? there is zero evidence presented. are you a madrassa graduate?",racism,1.0,@AdnanSadiq01 @PTISalarKhan,,
5551-5644-4543-0819-84,objecting to this is what the pc morons of salon call racism.,racism,1.0,@Salon @TheMuslimGuy,#Islam,http://t.co/JsytuXHXTz
5747-8167-4233-2739-84,"islam only served to slow down science. the few discoveries by muslims were despite islam, not because of islam.",racism,1.0,@asem_1994,,
5635-4537-3860-3150-08,"then, when there was no one left to rob, the muslims returned to being dessert bedouins still trying to rob each other.",racism,1.0,@obsurfer84,,
5599-3775-5052-9040-00,rt :  muslim protest was a complete failure. aussies don't want islam here. it doesn't suit our way of life. just l…,racism,1.0,@anglosaxonryder,#Lakemba,
5745-9197-1756-3719-68,every border that islam has with every other religion and non religion is bloody.,racism,1.0,@RaniaKhalek @MaxBlumenthal @NickKristof,,
5668-1847-0533-1610-24,so let's get it over with. the world needs to declare war on islam and get rid of the cancer.,racism,1.0,@munthir555 @The_Beamster @Sheikh_Times4,,
5552-0751-0840-2010-24,it's utterly stupid to  tolerate the intolerance of islam.,racism,1.0,@IAmThe1Teacher @IronmanL1 @stevecorrales80,,
5523-5221-6376-6929-92,all of you islamists repeat the same brain dead lines that someone else told you to say. i've seen that one a thousand times.,racism,1.0,@NiceeNhess,,
5634-5916-2563-0309-76,"furthermore, all the hadiths about aisha's age are classified as sahih - meaning sound.",racism,1.0,@obsurfer84,,
5558-8863-8873-9770-24,the same old lie about property rights.  but arab women had those before islam.,racism,1.0,@NNdabbour64,,
5695-9366-7448-4839-68,fuck these people that want to steal our freedom of speech for the sake of a fascist religious ideology.,racism,1.0,@ianbremmer @nrllhkose,,
5646-0751-2536-5720-32,"mohammed, the cancer of murder, hatred, slavery, bigotry, and sexism for mankind.",racism,1.0,@vaseem89,,
5649-0565-3341-1509-76,"rt : how can you protest over a cartoon, silence over child rape paedophiles?   …",racism,1.0,@Juliet777777 @ritzy_jewels @ProudPatri,,http://t.co/HHxSwpz2Vw
5530-6244-1412-6040-32,"if you like it or not, islam declared war on all humanity in the quran 1400 years ago.",racism,1.0,@bradybaggett @LUVSHINECAFE,,
5750-8856-4439-9450-24,the racist are muslims who use breeding for population imperialism.,racism,1.0,@alihadi68 @DouglasKMurray @BBCNews @Ofcom @SkyNews @Independent,,
5767-8130-7612-6520-32,kkk is almost non existent. but most muslims are terrorists.,racism,1.0,@Saudi_Castro @donttreadonme65 @zaki_safar,,http://t.co/zwTor5YYxD
5766-0997-9643-2359-68,imagine a muslim journalist making a case for why isis is not islamic.  no self interest there. lol.,racism,1.0,@MaxBlumenthal @mehdirhasan @tnr,,
5669-8171-0097-5640-32,rt : islam's war on women continues. islam continues to show how they value women...,racism,1.0,@RavenHUWolf,,http://t.co/6Uefi2sGBZ http://t.co/AL1emSK…
5673-6136-0883-7489-92,"rt : after the recent rape-murder case of a female turkish student, other turkish women are telling their stories to the worl…",racism,1.0,@fatmaycollins,,
5532-0656-6266-9950-08,"yes, the quran tells muslims to murder people of other religions.",racism,1.0,@kewldevzzo,,http://t.co/EExrTV2BJx
5652-9551-3453-7400-32,nice of isis to get them together in one place so we can take out the trash.,racism,1.0,@Sheikh_Times3,,
5753-2776-0417-0629-76,"no, now we have idiots like you claiming that the muslims should be allowed to finish exterminating me jews.",racism,1.0,@FarooqSumar @MaxBlumenthal,,
5648-8555-3393-3319-68,"since muslims are sworn to exterminate them, why shouldn't they.",racism,1.0,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5602-9604-1996-4970-24,that old line of bs.  there are over 100 islamic terrorist orgs. no other religion is close.,racism,1.0,@BilalIGhumman @OdiniaInvictus @IsraeliRegime,,
5766-0173-8184-0000-00,tell it to the 120 million africans that islam murdered.,racism,1.0,@1fatoshn,,https://t.co/xWJzpSodGj
5614-0724-6949-5559-68,earthly tyrants are also egotistical and want everyone to admire them and bow down to them. so the quran writer imagined god.,racism,1.0,@ingyusarms,,
5670-1446-6592-5749-76,i'm totally sick of these politically expedient statements after every attack by islam on humanity.,racism,1.0,@Number10gov,,
5615-5306-4763-4579-84,so the only way the problems of islam can be fixed is to outlaw islam.,racism,1.0,@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime,,
5713-5584-2546-5690-24,so we bombed hitler and various dictators because they refused to be slaves? muslims need to get a grip on reality.,racism,1.0,@DianH4,,
5668-1714-3862-2190-08,nobody cares about your stupid rationalizations.  we are simple going to kill all the daesh. hope you are one of em,racism,1.0,@Almahiraa__ @munthir555,,
5671-9820-1254-3840-00,rt :    they are breeding us out of existence in the westernised world. islam will rule the wor…,racism,1.0,@RayJBray @Juliet777777 @Vassa42 @2tweetaboutit,,
5756-7756-8415-7440-00,a muslim woman talks about sex slaves while max panders to them.,racism,1.0,@MaxBlumenthal @veganforareason @brendlewhat @dhere,,https://t.co/jXPDgugY01
5583-7875-3961-6359-68,what the americans did in iraq was allow the iraqis to elect their leadership.  sunnis and shia killing each other is islam.,racism,1.0,@Zahoorgorsi,,
5748-0328-8261-9509-76,"the muslims killed millions when they entered europe and india. but the question is, can we get beyond barbaric religion.",racism,1.0,@asem_1994,,
5570-4394-7260-7440-00,"eh, they all ostensible follow the ideology of islam. radicals follow closely, others less so.",racism,1.0,@PoliticalAnt @Lithobolos @ZaibatsuNews,,
5678-1812-9771-8680-32,the quran is an incoherent piece of garbage created for mental midgets.,racism,1.0,@no2_tweet,#Islam,
5754-7804-6028-7879-68,the muslim societies that managed to survive were brutal slave societies where they lived off the labor of slaves and women.,racism,1.0,@harmlesstree2,,
5679-4168-0889-8599-68,knowledge and muslim clerics = non intersecting sets.,racism,1.0,,#Islam,
5550-2123-0999-6179-84,"our politicians make inane speeches about freedom of speech while studiously avoiding the real source of the problem, the violence in",racism,1.0,,#Islam,
5525-2809-2691-1820-16,"rt : and every muslim is a ""slave of allah"" the more religious or ""islamic"" the more damage and danger there is.  …",racism,1.0,@riwired @VileIslam @ORehaf,,
5684-1402-4372-6540-16,nobody declared war on allah and his pedophile messenger. islam's war is all started by islam.,racism,1.0,@DianH4 @ajwatamr @ExposeFalsehood,,
